,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,Unnamed: 10,RainStatus,SnowStatus,weatherType,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES
0,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/1/14,5.59,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",0,",,W,",,,33,",,W",24,",,W",,,280,",,W",300,",,W",14.1,",,W",23,",,W",,,,,,,,,,
1,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/2/14,12.3,",,W",,,,1,1,1,0.33,",,W,2400",3.1,",,W,",0,",,W,",,,33,",,W",18,",,W",,,50,",,W",50,",,W",21,",,W",28,",,W",,,,,,,,,,
2,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/3/14,10.51,",,W",,,,1,1,1,0.29,",,W,2400",3.3,",,W,",6,",,W,",,,18,",,W",9,",,W",,,360,",,W",310,",,W",21,",,W",29.1,",,W",1,",,W",,,,,,,,
3,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/4/14,4.92,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",6,",,W,",,,29,",,W",8,",,W",,,260,",,W",240,",,W",8.9,",,W",19.9,",,W",,,,,,,,,,
4,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/5/14,3.8,",,W",,,,1,0,0,0.14,",,W,2400",0,"T,,W,",4,",,W,",,,40,",,W",27,",,W",,,70,",,W",240,",,W",6.9,",,W",17,",,W",,,,,,,,,,
5,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/6/14,8.5,",,W",,,,1,0,0,0.36,",,W,2400",0,",,W,",1,",,W,",,,55,",,W",19,",,W",,,290,",,W",300,",,W",18.1,",,W",29.1,",,W",,,,,,,,,,
6,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/7/14,13.2,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",0,",,W,",,,19,",,W",4,",,W",,,280,",,W",270,",,W",23,",,W",38,",,W",,,,,,,,,,
7,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/8/14,7.16,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",0,",,W,",,,22,",,W",9,",,W",,,290,",,W",290,",,W",15,",,W",23,",,W",,,,,,,,,,
8,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/9/14,2.91,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",0,",,W,",,,32,",,W",22,",,W",,,350,",,W",320,",,W",12.1,",,W",16.1,",,W",,,,,,,,,,
9,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/10/14,3.36,",,W",,,,1,0,0,0.11,",,W,2400",0,"T,,W,",0,",,W,",,,37,",,W",30,",,W",,,50,",,W",160,",,W",8.1,",,W",11,",,W",,,,,,,,,,
